编号,品牌,型号,前进档位数,倒档档位数,换档形式,最大扭矩(N*m),变速箱油容量(L),前进档速比,倒档速比
170,綦江,QJ12S1700,12,2,手动,1700,16,"1: 16.47
2: 11.32
3: 7.79
4: 5.48
5: 3.59
6: 3.01
7: 2.47
8: 2.07
9: 1.71
10: 1.42
11: 1.19
12: 1.00","1: 13.32
2: 11.15"
171,綦江,QJ12S1700A,12,2,手动,1700,16,"1: 14.29
2: 9.93
3: 7.05
4: 4.58
5: 3.12
6: 2.56
7: 2.17
8: 1.78
9: 1.54
10: 1.26
11: 1.00
12: 0.82","1: 12.79
2: 10.71"
172,綦江,QJ12S1900,12,2,手动,1900,16,"1: 15.79
2: 10.86
3: 7.52
4: 5.23
5: 3.59
6: 3.01
7: 2.47
8: 2.07
9: 1.71
10: 1.42
11: 1.19
12: 1.00","1: 12.16
2: 9.96"
173,綦江,QJ12S1900A,12,2,手动,1900,16,"1: 12.46
2: 7.83
3: 5.54
4: 3.61
5: 3.12
6: 2.56
7: 2.17
8: 1.78
9: 1.54
10: 1.26
11: 1.00
12: 0.82","1: 12.16
2: 9.96"
174,綦江,QJ12S2100,12,2,手动,2100,16,"1: 13.8
2: 9.5
3: 6.5
4: 4.6
5: 3.5
6: 3.0
7: 2.4
8: 2.1
9: 1.7
10: 1.4
11: 1.2
12: 1.0","1: 13.32
2: 11.15"
175,綦江,QJ12S2100A,12,2,手动,2100,16,"1: 13.24
2: 9.10
3: 6.24
4: 4.40
5: 3.59
6: 3.01
7: 2.47
8: 2.04
9: 1.71
10: 1.42
11: 1.19
12: 1.00","1: 12.79
2: 10.71"
176,綦江,QJ12S2400,12,2,手动,2400,16,"1: 13.24
2: 9.10
3: 6.24
4: 4.40
5: 3.59
6: 3.01
7: 2.47
8: 2.04
9: 1.71
10: 1.42
11: 1.19
12: 1.00","1: 12.79
2: 10.71"
177,綦江,QJ12S2400A,12,2,手动,2400,16,"1: 12.7
2: 8.1
3: 5.8
4: 3.7
5: 3.1
6: 2.5
7: 2.1
8: 1.7
9: 1.5
10: 1.2
11: 1.0
12: 0.8","1: 12.6
2: 10.3"
178,綦江,16TS1700,16,2,手动,1700,0,"1: 16.47
2: 13.79
3: 11.32
4: 9.47
5: 7.79
6: 6.52
7: 5.48
8: 4.58
9: 3.59
10: 3.01
11: 2.47
12: 2.07
13: 1.7
14: 1.42
15: 1.2
16: 1","1.13.32
2.11.15"
179,綦江,16TS1900,16,2,手动,1900,0,"1: 13.8
2: 11.55
3: 9.59
4: 8.02
5: 6.81
6: 5.70
7: 4.58
8: 3.84
9: 3.01
10: 2.52
11: 2.09
12: 1.75
13: 1.49
14: 1.24
15: 1.00
16: 0.84","1.12.23
2.10.02"
180,綦江,16TS1900,16,2,手动,1900,0,"1: 16.47
2: 13.79
3: 11.32
4: 9.47
5: 7.79
6: 6.52
7: 5.48
8: 4.58
9: 3.59
10: 3.01
11: 2.47
12: 2.07
13: 1.7
14: 1.42
15: 1.2
16: 1",
181,綦江,QJ16S1700,16,2,手动,1700,0,"1: 16.47
2: 13.79
3: 11.32
4: 9.47
5: 7.79
6: 6.52
7: 5.48
8: 4.58
9: 3.59
10: 3.01
11: 2.47
12: 2.07
13: 1.7
14: 1.42
15: 1.2
16: 1","1.13.32
2.11.15"
182,綦江,QJ16S1700,16,2,手动,1700,16,"1: 14.29
2: 11.71
3: 9.93
4: 8.14
5: 7.05
6: 5.78
7: 4.59
8: 3.76
9: 3.74
10: 2.56
11: 2.17
12: 1.78
13: 1.54
14: 1.26
15: 1
16: 0.82","1: 12.66
2: 10.37"
183,綦江,QJ16S1900,16,2,手动,2200,16,"1: 14.29
2: 11.71
3: 9.93
4: 8.14
5: 7.05
6: 5.78
7: 4.59
8: 3.76
9: 3.74
10: 2.56
11: 2.17
12: 1.78
13: 1.54
14: 1.26
15: 1
16: 0.82","1: 12.66
2: 10.37"
184,綦江,QJ16S2200,16,2,手动,2200,16,"1: 14.29
2: 11.71
3: 9.93
4: 8.14
5: 7.05
6: 5.78
7: 4.59
8: 3.76
9: 3.74
10: 2.56
11: 2.17
12: 1.78
13: 1.54
14: 1.26
15: 1
16: 0.82","1: 12.66
2: 10.37"
185,斯堪尼亚,GRSO905R,12,2,手自一体,0,0,,
186,四川现代岱摩斯,T230S12,12,2,手动,2000,15,"1: 12.29
2: 9.57
3: 7.49
4: 5.83
5: 4.57
6: 3.55
7: 2.69
8: 2.10
9: 1.64
10: 1.28
11: 1.00
12: 0.78","1: 10.86
2: 8.46"
187,四川现代岱摩斯,T230S16,16,2,手动,2000,16.5,"1: 14.08
2: 11.74
3: 9.33
4: 7.78
5: 6.44
6: 5.37
7: 4.57
8: 3.81
9: 3.08
10: 2.57
11: 2.04
12: 1.70
13: 1.41
14: 1.18
15: 1.00
16: 0.83","1: 12.2
2: 10.17"
188,万里扬, WLY10S110B,10,1,手动,1100,9.5,"1: 8.82
2: 6.36
3: 4.92
4: 4.10
5: 3.32
6: 2.15
7: 1.55
8: 1.2
9: 1.0
10: 0.81
","1.6.56
"
189,万里扬,WLY10S110,10,1,手动,1100,9.5,"1: 13.12
2: 8.82
3: 6.36
4: 4.92
5: 4.10
6: 3.32
7: 2.15
8: 1.55
9: 1.2
10: 1.0
","1.13.26
"
190,万里扬,WLY10S110A,10,1,手动,1500,9.5,"1: 13.12
2: 8.82
3: 6.36
4: 4.92
5: 4.10
6: 3.32
7: 2.15
8: 1.55
9: 1.2
10: 1.0
","1.13.26
"
191,万里扬,WLY10S110T,10,1,手动,900,9.5,"1: 8.82
2: 6.36
3: 4.92
4: 4.10
5: 3.32
6: 2.15
7: 1.55
8: 1.2
9: 1.0
10: 0.81
","1.6.56
"
192,万里扬,WLY10S110TA,10,1,手动,900,9.5,"1: 13.12
2: 8.82
3: 6.36
4: 4.92
5: 4.10
6: 3.32
7: 2.15
8: 1.55
9: 1.2
10: 1.0
","1.13.26
"
193,万里扬,WLY10S110TB,10,1,手动,900,9.5,"1: 8.82
2: 6.36
3: 4.92
4: 4.10
5: 3.32
6: 2.15
7: 1.55
8: 1.2
9: 1.0
10: 0.81
","1.6.56
"
194,万里扬,WLY10S130,10,1,手动,1300,12,"1: 13.00
2: 7.97
3: 5.53
4: 4.33
5: 3.87
6: 3.36
7: 2.06
8: 1.43
9: 1.12
10: 1.00
","1.13.26
"
195,万里扬,WLY10S130A,10,1,手动,1300,12,"1: 7.97
2: 5.53
3: 4.33
4: 3.87
5: 3.36
6: 2.06
7: 1.43
8: 1.12
9: 1.0
10: 0.81
","1.13.26
"
196,万里扬,WLY10S130B,10,1,手动,1300,12,"1: 13.00
2: 7.97
3: 5.53
4: 4.33
5: 3.87
6: 3.36
7: 2.06
8: 1.43
9: 1.12
10: 1.00
","1.6.56
"
197,万里扬,WLY10S130T,10,1,手动,1100,12,"1: 13.00
2: 7.97
3: 5.53
4: 4.33
5: 3.87
6: 3.36
7: 2.06
8: 1.43
9: 1.12
10: 1.00
","1.13.26
"
198,万里扬,WLY10S130TA,10,1,手动,1100,12,"1: 13.00
2: 7.97
3: 5.53
4: 4.33
5: 3.87
6: 3.36
7: 2.06
8: 1.43
9: 1.12
10: 1.00
","1.13.26
"
199,万里扬,WLY10S130TB,10,1,手动,1100,12,"1: 7.97
2: 5.53
3: 4.33
4: 3.87
5: 3.36
6: 2.06
7: 1.43
8: 1.12
9: 1.0
10: 0.81
","1.6.56
"
200,万里扬,WLY10S150,10,1,手动,1500,13,"1: 13.00
2: 7.97
3: 5.53
4: 4.33
5: 3.87
6: 3.36
7: 2.06
8: 1.43
9: 1.12
10: 1.00
","1.13.12
"
201,万里扬,WLY10S150A,10,1,手动,1100,13,"1: 7.97
2: 5.53
3: 4.33
4: 3.87
5: 3.36
6: 2.06
7: 1.43
8: 1.12
9: 1.0
10: 0.81
","1.8.02
"
202,万里扬,WLY10S150T,10,1,手动,1300,13,"1: 13.00
2: 7.97
3: 5.53
4: 4.33
5: 3.87
6: 3.36
7: 2.06
8: 1.43
9: 1.12
10: 1.00
","1.13.12
"
203,万里扬,WLY10S150TA,10,1,手动,1300,13,"1: 13.00
2: 7.97
3: 5.53
4: 4.33
5: 3.87
6: 3.36
7: 2.06
8: 1.43
9: 1.12
10: 1.00
","1.13.12
"
204,万里扬,WLY525H,10,1,手动,250,2.7,"1: 7.73
2: 3.997
3: 2.269
4: 1.495
5: 1.13
6: 5.568
7: 2.879
8: 1.634
9: 1.00
10: 0.814
",1. 5.011
205,万里扬,WLY530H,10,1,手动,300,3.2,"1: 12.6
2: 7.174
3: 4.194
4: 2.634
5: 1.85
6: 6.3
7: 3.592
8: 2.1
9: 1.32
10: 1.00
","1. 5.7
"
206,万里扬,WLY538H,10,1,手动,300,3.3,"1: 9.36
2: 4.83
3: 2.89
4: 1.85
5: 1.41
6: 5.057
7: 2.609
8: 1.565
9: 1.00
10: 0.764
",1. 4.575
207,万里扬,WLY540F,10,1,手动,260,5.5,"1: 11.180048
2: 6.591519
3: 3.741463
4: 2.347015
5: 1.529
6: 7.312
7: 4.311
8: 2.447
9: 1.535
10: 1.00
",1. 7.66
208,万里扬,WLY540H,10,1,手动,400,5.5,"1: 19.565084
2: 11.53515825
3: 6.54756025
4: 4.10727625
5: 2.67575
6: 7.312
7: 4.311
8: 2.447
9: 1.535
10: 1.00
",1. 7.66
209,万里扬,WLY553H,10,1,手动,530,5,"1: 11
2: 5.987
3: 4.118
4: 2.419
5: 1.44
6: 7.64
7: 4.095
8: 2.86
9: 1.68
10: 1
",1. 7.11
210,万里扬,WLY12S180T,12,2,手动,1800,15,"1: 15.59
2: 12.14
3: 9.41
4: 7.34
5: 5.74
6: 4.48
7: 3.47
8: 2.70
9: 2.19
10: 1.63
11: 1.27
12: 1.00","1: 14.86
2: 3.33"
211,万里扬,WLY12S180TA,12,2,手动,1800,15,"1: 12.14
2: 9.45
3: 7.35
4: 5.73
5: 4.48
6: 3.49
7: 2.70
8: 2.09
9: 1.63
10: 1.27
11: 1.00
12: 0.78","1: 11.56
2: 2.59"
212,万里扬,WLY670H,12,1,手动,700,15,"1: 11.98
2: 7.751
3: 7.455
4: 4.942
5: 4.823
6: 3.175
7: 3.075
8: 2.378
9: 1.976
10: 1.607
11: 1.48
12: 1.00","1: 6.709
"
213,一汽, CA10TA130M,10,2,手动,1300,13/13.5,"1. 14.734
2: 11
3: 8.166
4: 6.003
5: 4.464
6: 3.301
7: 2.464
8: 1.83
9: 1.345
10: 1","1.15.098
2.3.382"
214,一汽, CA10TA160M,10,2,手动,1600,13/13.5,"1. 14.734
2: 11
3: 8.166
4: 6.003
5: 4.464
6: 3.301
7: 2.464
8: 1.83
9: 1.345
10: 1","1.15.098
2.3.382"
215,一汽, CA10TAX130M,10,2,手动,1300,13/13.5,"1: 10.597
2: 8.18
3: 6.073
4: 4.464
5: 3.319
6: 2.455
7: 1.833
8: 1.361
9: 1
10: 0.744","1.11.227
2.2.515"
216,一汽,CA10TA130M,10,2,手动,1300,13/13.5,"1. 14.734
2: 11
3: 8.166
4: 6.003
5: 4.464
6: 3.301
7: 2.464
8: 1.83
9: 1.345
10: 1","1.15.098
2.3.382"
217,一汽,CA10TA190M,10,2,手动,1900,13,"1. 14.734
2: 11
3: 8.166
4: 6.003
5: 4.464
6: 3.301
7: 2.464
8: 1.83
9: 1.345
10: 1","1.15.098
2.3.382"
218,一汽,CA10TAX160M,10,2,手动,1600,13/13.5,"1: 10.597
2: 8.18
3: 6.073
4: 4.464
5: 3.319
6: 2.455
7: 1.833
8: 1.361
9: 1
10: 0.744","1.11.227
2.2.515"
219,一汽,CA10TAX190M,10,1,手动,1900,13,"1: 10.957
2: 8.18
3: 6.073
4: 4.464
5: 3.319
6: 2.455
7: 1.833
8: 1.361
9: 1.00
10: 0.744
",1. 11.227
220,一汽,CA12TA160M,12,2,手动,1600,15.8,"1: 15.535
2: 12.055
3: 9.390
4: 7.349
5: 5.704
6: 4.464
7: 3.480
8: 2.701
9: 2.104
10: 1.652
11: 1.278
12: 1.00","1: 15.098
2: 3.382"
221,一汽,CA12TA160M2,12,2,手动,1600,18.7,"1: 15.535
2: 12.055
3: 9.390
4: 7.349
5: 5.704
6: 4.464
7: 3.480
8: 2.701
9: 2.104
10: 1.652
11: 1.278
12: 1.00","1: 15.098
2: 3.382"
222,一汽,CA12TA190M,12,2,手动,1900,15.8,"1: 15.535
2: 12.055
3: 9.390
4: 7.349
5: 5.704
6: 4.464
7: 3.480
8: 2.701
9: 2.104
10: 1.652
11: 1.278
12: 1.00","1: 15.098
2: 3.382"
223,一汽,CA12TA190M2,12,2,手动,1900,18.7,"1: 15.535
2: 12.055
3: 9.390
4: 7.349
5: 5.704
6: 4.464
7: 3.480
8: 2.701
9: 2.104
10: 1.652
11: 1.278
12: 1.00","1: 15.098
2: 3.382"
224,一汽,CA12TA210M,12,2,手动,2100,15.8,"1: 15.535
2: 12.055
3: 9.390
4: 7.349
5: 5.704
6: 4.464
7: 3.480
8: 2.701
9: 2.104
10: 1.652
11: 1.278
12: 1.00","1: 15.098
2: 3.382"
225,一汽,CA12TA210M2,12,2,手动,2100,18.7,"1: 15.535
2: 12.055
3: 9.390
4: 7.349
5: 5.704
6: 4.464
7: 3.480
8: 2.701
9: 2.104
10: 1.652
11: 1.278
12: 1.00","1: 15.098
2: 3.382"
226,一汽,CA12TAX160M,12,2,手动,1600,15.8,"1: 12.158
2: 9.435
3: 7.349
4: 5.770
5: 4.464
6: 3.493
7: 2.724
8: 2.114
9: 1.646
10: 1.293
11: 1.00
12: 0.783","1: 11.816
2: 2.647"
227,一汽,CA12TAX160M2,12,2,手动,1600,18.7,"1: 12.158
2: 9.435
3: 7.349
4: 5.770
5: 4.464
6: 3.493
7: 2.724
8: 2.114
9: 1.646
10: 1.293
11: 1.00
12: 0.783","1: 11.816
2: 2.647"
228,一汽,CA12TAX190M,12,2,手动,1900,15.8,"1: 12.158
2: 9.435
3: 7.349
4: 5.770
5: 4.464
6: 3.493
7: 2.724
8: 2.114
9: 1.646
10: 1.293
11: 1.00
12: 0.783","1: 11.816
2: 2.647"
229,一汽,CA12TAX190M2,12,2,手动,1900,18.7,"1: 12.158
2: 9.435
3: 7.349
4: 5.770
5: 4.464
6: 3.493
7: 2.724
8: 2.114
9: 1.646
10: 1.293
11: 1.00
12: 0.783","1: 11.816
2: 2.647"
230,一汽,CA12TAX210A1,12,1,手动,2100,15.8,"1: 12.158
2: 9.435
3: 7.349
4: 5.770
5: 4.464
6: 3.493
7: 2.724
8: 2.114
9: 1.646
10: 1.293
11: 1.00
12: 0.783","1: 11.816
"
231,一汽,CA12TAX210M,12,2,手动,2100,15.8,"1: 12.158
2: 9.435
3: 7.349
4: 5.770
5: 4.464
6: 3.493
7: 2.724
8: 2.114
9: 1.646
10: 1.293
11: 1.00
12: 0.783","1: 11.816
2: 2.647"
232,一汽,CA12TAX210M2,12,2,手动,2100,18.7,"1: 12.158
2: 9.435
3: 7.349
4: 5.770
5: 4.464
6: 3.493
7: 2.724
8: 2.114
9: 1.646
10: 1.293
11: 1.00
12: 0.783","1: 11.816
2: 2.647"
233,伊顿, ET-18110,10,3,手动,1800,0,"1: 20.468
2: 13.244
3: 8.67
4: 6.229
5: 4.557
6: 3.405
7: 2.546
8: 1.83
9: 1.338
10: 1","1.20.468
2.13.244 
3.3.89
"
234,伊顿, ETO-16110,10,3,手动,1800,0,"1: 15.293
2: 9.896
3: 6.487
4: 4.654
5: 3.405
6: 2.544
7: 1.903
8: 1.367
9: 1
10: 0.747","1.15.293
2.9.895
3.2.906
"
235,伊顿, ETO-18110,10,3,手动,1800,0,"1: 15.293
2: 9.896
3: 6.487
4: 4.654
5: 3.405
6: 2.544
7: 1.903
8: 1.367
9: 1
10: 0.747","1.15.293
2.9.895
3.2.906
"
236,伊顿, FO-14E308LL-VCS,10,3,手自一体,2200,13.16,"1: 14.56
2: 9.42
3: 6.24
4: 4.63
5: 3.4
6: 2.53
7: 1.83
8: 1.36
9: 1
10: 0.74","1.15.22
2.9.85
3.2.89"
237,伊顿, FO-16E308LL-VCS,10,3,手自一体,2200,13.16,"1: 14.56
2: 9.42
3: 6.24
4: 4.63
5: 3.4
6: 2.53
7: 1.83
8: 1.36
9: 1
10: 0.74","1.15.22
2.9.85
3.2.89"
238,伊顿, FO-17E308LL-VCS,10,3,手自一体,2373,13.16,"1: 14.56
2: 9.42
3: 6.24
4: 4.63
5: 3.4
6: 2.53
7: 1.83
8: 1.36
9: 1
10: 0.74","1.15.22
2.9.85
3.2.89"
239,伊顿, RT-16110B,10,2,手动,1600,0,"1: 14.78
2: 11
3: 8.17
4: 6
5: 4.46
6: 3.31
7: 2.46
8: 1.83
9: 1.34
10: 1","1.15.1
2.3.38
"
240,伊顿, RTO-16110B,10,2,手动,1600,0,"1: 10.99
2: 8.18
3: 6.07
4: 4.46
5: 3.32
6: 2.46
7: 1.83
8: 1.36
9: 1
10: 0.74","1.11.23
2.2.52
"
241,伊顿, RTO-18110C,10,2,手动,1800,0,"1: 12.8
2: 9.25
3: 6.76
4: 4.9
5: 3.58
6: 2.61
7: 1.89
8: 1.38
9: 1
10: 0.73","1.13.63
2.2.78
"
242,伊顿, RTO-20110C,10,2,手动,2000,0,"1: 12.8
2: 9.25
3: 6.76
4: 4.9
5: 3.58
6: 2.61
7: 1.89
8: 1.38
9: 1
10: 0.73","1.13.63
2.2.78
"
